2019-01-07 15:28:11,137 |  Habitos - View Control |ERROR | verify that if click view control menu it should redirect to related screen
2019-01-07 15:28:11,170 |  Habitos - CRM Info |ERROR | Verify that if click info it should redirect to crm info index screen 
2019-01-07 15:28:43,889 |  BramHope Website Portal |INFO | browser gets open
2019-01-07 15:28:47,309 |  BramHope Website Portal |INFO | browser gets valid ip address
2019-01-07 15:28:57,385 |  Habitos - CRM Info |ERROR | Verify that user can able to select the meal time
2019-01-07 15:29:02,445 |  Habitos - CRM Info |INFO | Verify that user can able to select meal type
2019-01-07 15:29:02,452 |  Habitos - CRM Info |ERROR | Verify that user can able to select Student type
2019-01-07 15:29:02,458 |  Habitos - CRM Info |ERROR | Verify that user can able to select spread type
2019-01-07 15:29:02,461 |  Habitos - CRM Info |ERROR | Verify that user can able to enter the total count
2019-01-07 15:29:02,464 |  Habitos - CRM Info |INFO | Verify that user can able to select the consume time
2019-01-07 15:29:02,470 |  Habitos - CRM Info |INFO | Verify that user can able to select the dispatch time
2019-01-07 15:29:02,474 |  Habitos - CRM Info |INFO | Verify that user can able to select the delivery time
2019-01-07 15:29:02,478 |  Habitos - CRM Info |ERROR | Verify that user can able to select order  type
2019-01-07 15:29:03,008 |  Habitos - CRM Info |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2019-01-07 15:29:03,227 |  Habitos - View Control |ERROR | if click add button it should redirect to add screen
2019-01-07 15:29:03,228 |  Habitos - View Control |ERROR | if click sumit button the values gets saved and dispalying to index screen
2019-01-07 15:29:28,519 |  BramHope Website Portal |INFO | browser gets open
2019-01-07 15:29:31,372 |  BramHope Website Portal |INFO | browser gets valid ip address
2019-01-07 15:29:39,546 |  Habitos - CRM Info |ERROR | Verify that if click info it should redirect to crm info index screen 
2019-01-07 15:29:39,749 |  Habitos - CRM Info |ERROR | Verify that if click add new button it should redirect to add new screen
2019-01-07 15:29:39,756 |  Habitos - CRM Info |ERROR | Verify that user can able to select the meal time
2019-01-07 15:29:39,759 |  Habitos - CRM Info |ERROR | Verify that user can able to select meal type
2019-01-07 15:29:39,762 |  Habitos - CRM Info |ERROR | Verify that user can able to select Student type
2019-01-07 15:29:39,765 |  Habitos - CRM Info |ERROR | Verify that user can able to select spread type
2019-01-07 15:29:39,768 |  Habitos - CRM Info |ERROR | Verify that user can able to enter the total count
2019-01-07 15:29:39,770 |  Habitos - CRM Info |INFO | Verify that user can able to select the consume time
2019-01-07 15:29:39,773 |  Habitos - CRM Info |INFO | Verify that user can able to select the dispatch time
2019-01-07 15:29:39,776 |  Habitos - CRM Info |INFO | Verify that user can able to select the delivery time
2019-01-07 15:29:39,779 |  Habitos - CRM Info |ERROR | Verify that user can able to select order  type
2019-01-07 15:29:40,289 |  Habitos - CRM Info |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2019-01-07 15:29:40,517 |  Habitos - View Control |ERROR | if click add button it should redirect to add screen
2019-01-07 15:29:40,518 |  Habitos - View Control |ERROR | if click sumit button the values gets saved and dispalying to index screen
2019-01-07 15:30:06,854 |  BramHope Website Portal |INFO | browser gets open
2019-01-07 15:30:09,672 |  BramHope Website Portal |INFO | browser gets valid ip address
2019-01-07 15:30:18,991 |  Habitos - CRM Info |ERROR | Verify that if click info it should redirect to crm info index screen 
2019-01-07 15:30:19,197 |  Habitos - CRM Info |ERROR | Verify that if click add new button it should redirect to add new screen
2019-01-07 15:30:19,204 |  Habitos - CRM Info |ERROR | Verify that user can able to select the meal time
2019-01-07 15:30:19,208 |  Habitos - CRM Info |ERROR | Verify that user can able to select meal type
2019-01-07 15:30:19,212 |  Habitos - CRM Info |ERROR | Verify that user can able to select Student type
2019-01-07 15:30:19,215 |  Habitos - CRM Info |ERROR | Verify that user can able to select spread type
2019-01-07 15:30:19,219 |  Habitos - CRM Info |ERROR | Verify that user can able to enter the total count
2019-01-07 15:30:19,223 |  Habitos - CRM Info |INFO | Verify that user can able to select the consume time
2019-01-07 15:30:19,228 |  Habitos - CRM Info |INFO | Verify that user can able to select the dispatch time
2019-01-07 15:30:19,235 |  Habitos - CRM Info |INFO | Verify that user can able to select the delivery time
2019-01-07 15:30:19,239 |  Habitos - CRM Info |ERROR | Verify that user can able to select order  type
2019-01-07 15:30:19,764 |  Habitos - CRM Info |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2019-01-07 15:30:20,011 |  Habitos - View Control |ERROR | if click add button it should redirect to add screen
2019-01-07 15:30:20,013 |  Habitos - View Control |ERROR | if click sumit button the values gets saved and dispalying to index screen
2019-01-07 15:30:28,867 |  BramHope Website Portal |INFO | browser gets open
2019-01-07 15:30:31,827 |  BramHope Website Portal |INFO | browser gets valid ip address
2019-01-07 15:30:39,783 |  Habitos - CRM Info |ERROR | Verify that if click info it should redirect to crm info index screen 
2019-01-07 15:30:39,988 |  Habitos - CRM Info |ERROR | Verify that if click add new button it should redirect to add new screen
2019-01-07 15:30:39,995 |  Habitos - CRM Info |ERROR | Verify that user can able to select the meal time
2019-01-07 15:30:39,997 |  Habitos - CRM Info |ERROR | Verify that user can able to select meal type
2019-01-07 15:30:40,000 |  Habitos - CRM Info |ERROR | Verify that user can able to select Student type
2019-01-07 15:30:40,004 |  Habitos - CRM Info |ERROR | Verify that user can able to select spread type
2019-01-07 15:30:40,007 |  Habitos - CRM Info |ERROR | Verify that user can able to enter the total count
2019-01-07 15:30:40,010 |  Habitos - CRM Info |INFO | Verify that user can able to select the consume time
2019-01-07 15:30:40,014 |  Habitos - CRM Info |INFO | Verify that user can able to select the dispatch time
2019-01-07 15:30:40,017 |  Habitos - CRM Info |INFO | Verify that user can able to select the delivery time
2019-01-07 15:30:40,019 |  Habitos - CRM Info |ERROR | Verify that user can able to select order  type
2019-01-07 15:30:40,529 |  Habitos - CRM Info |INFO | ********** Verify that use can able to login with correct username & incorrect password***********
2019-01-07 15:30:40,756 |  Habitos - View Control |ERROR | if click add button it should redirect to add screen
2019-01-07 15:30:40,757 |  Habitos - View Control |ERROR | if click sumit button the values gets saved and dispalying to index screen
2019-01-07 15:30:41,491 |  Habitos - Individual_Enrollment |ERROR | Verify that if click info it should redirect to crm info index screen 
2019-01-07 15:30:41,498 |  Habitos - Individual_Enrollment |ERROR | if click upload button it should upload the enrolment file
2019-01-07 15:30:42,011 |  Habitos - View Control |ERROR | verify that if click view control menu it should redirect to related screen
2019-01-07 15:31:30,586 |  BramHope Website Portal |INFO | browser gets open
2019-01-07 15:31:33,413 |  BramHope Website Portal |INFO | browser gets valid ip address
2019-01-07 15:31:43,458 |  Habitos - CRM Info |ERROR | Verify that if click info it should redirect to crm info index screen 
2019-01-07 15:31:51,758 |  Habitos - CRM Info |ERROR | Verify that if click add new button it should redirect to add new screen
2019-01-07 15:31:51,773 |  Habitos - CRM Info |ERROR | Verify that user can able to select the meal time
